,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:27:00,,,587.0,436.0,1641.0,,1081.0,2610.0,91.0,439.0,399.0,19.0,,934.0,753.0,1233.0,57.0,201.0,215.0,,,,1.0,377.0,,67.0,1096.0,,240.0,1567.0,1000.0,233.0,403.0,512.0,121.0,,1567.0,393.0,3139.0,,308.0,8174.0,3260.0,774.0,104.0,3330.0,5545.0,132.0,5102.0,,1625.0,564.0,1064.0,,189.0,3681.0,554.0,29.0,485.0,,160.0,
2021-03-24 21:28:00,,,1557.0,250.0,785.0,,1005.0,2025.0,3.0,393.0,374.0,58.0,,1528.0,980.0,2253.0,136.0,365.0,137.0,,,,34.0,1996.0,,206.0,389.0,,247.0,1236.0,1431.0,266.0,761.0,526.0,287.0,,1382.0,166.0,1988.0,,537.0,3265.0,4884.0,690.0,137.0,1680.0,2941.0,167.0,2918.0,,894.0,488.0,671.0,,336.0,3385.0,936.0,13.0,262.0,,146.0,
2021-03-24 21:29:00,,,2415.0,511.0,1258.0,,759.0,4125.0,12.0,236.0,1032.0,28.0,,975.0,456.0,952.0,77.0,176.0,95.0,,,,31.0,388.0,,90.0,1091.0,,160.0,1090.0,575.0,159.0,1051.0,669.0,597.0,,1016.0,128.0,6482.0,,437.0,10472.0,3733.0,862.0,142.0,1841.0,3948.0,128.0,2685.0,,648.0,784.0,1728.0,,129.0,2177.0,1477.0,38.0,418.0,,442.0,
2021-03-24 21:30:00,,,1558.0,456.0,2118.0,,1734.0,6230.0,10.0,396.0,720.0,98.0,,1892.0,1098.0,2016.0,358.0,921.0,106.0,,,,31.0,642.0,,228.0,1007.0,,323.0,1698.0,1848.0,486.0,2434.0,1182.0,618.0,,2689.0,261.0,11258.0,,2130.0,11127.0,6399.0,595.0,211.0,1710.0,5298.0,219.0,2638.0,,1194.0,1044.0,1694.0,,192.0,4431.0,1631.0,59.0,879.0,,1397.0,
2021-03-24 21:31:00,,,1360.0,640.0,1017.0,,1049.0,5607.0,56.0,627.0,656.0,43.0,,1377.0,495.0,2674.0,830.0,374.0,252.0,,,,0.0,983.0,,117.0,1436.0,,234.0,1406.0,1785.0,240.0,479.0,641.0,263.0,,2221.0,216.0,8125.0,,1190.0,9092.0,5715.0,401.0,135.0,4180.0,4311.0,151.0,1887.0,,1031.0,1049.0,957.0,,59.0,5303.0,1182.0,27.0,621.0,,554.0,
2021-03-24 21:32:00,,,658.0,524.0,835.0,,1114.0,3166.0,59.0,592.0,873.0,58.0,,979.0,1028.0,1390.0,453.0,595.0,216.0,,,,8.0,736.0,,103.0,2050.0,,380.0,1160.0,6204.0,214.0,1637.0,571.0,413.0,,1105.0,147.0,4805.0,,818.0,6649.0,2866.0,656.0,136.0,3578.0,6264.0,117.0,3895.0,,1540.0,339.0,1095.0,,150.0,5226.0,1450.0,59.0,393.0,,1800.0,
2021-03-24 21:33:00,,,670.0,345.0,824.0,,1933.0,3572.0,35.0,541.0,471.0,20.0,,1078.0,746.0,2141.0,189.0,418.0,171.0,,,,0.0,247.0,,176.0,3160.0,,276.0,1423.0,5067.0,294.0,1332.0,624.0,916.0,,740.0,180.0,3139.0,,1468.0,4667.0,2169.0,392.0,163.0,2197.0,1965.0,71.0,1979.0,,461.0,610.0,1462.0,,88.0,5077.0,954.0,37.0,265.0,,2127.0,
2021-03-24 21:34:00,,,432.0,157.0,817.0,,807.0,2330.0,53.0,342.0,2099.0,12.0,,1083.0,470.0,1356.0,165.0,211.0,177.0,,,,0.0,460.0,,499.0,3956.0,,116.0,2965.0,9834.0,403.0,252.0,325.0,254.0,,645.0,256.0,2493.0,,983.0,3876.0,1607.0,155.0,115.0,2221.0,1413.0,151.0,987.0,,746.0,399.0,625.0,,89.0,6438.0,1858.0,6.0,190.0,,568.0,
2021-03-24 21:35:00,,,286.0,251.0,1155.0,,979.0,2004.0,4.0,436.0,2783.0,13.0,,1201.0,1266.0,872.0,121.0,434.0,86.0,,,,0.0,302.0,,304.0,1670.0,,238.0,1669.0,5126.0,242.0,201.0,536.0,219.0,,762.0,131.0,3188.0,,613.0,5358.0,1267.0,552.0,139.0,1206.0,1411.0,152.0,1406.0,,1285.0,504.0,831.0,,227.0,4163.0,2017.0,74.0,246.0,,948.0,
2021-03-24 21:36:00,,,690.0,282.0,1303.0,,985.0,1404.0,17.0,311.0,1343.0,1.0,,1340.0,704.0,1345.0,483.0,273.0,70.0,,,,5.0,179.0,,215.0,1458.0,,137.0,1009.0,2152.0,257.0,310.0,474.0,302.0,,593.0,143.0,3111.0,,377.0,5291.0,1959.0,475.0,148.0,1222.0,1584.0,73.0,1627.0,,2579.0,189.0,435.0,,98.0,3193.0,823.0,39.0,525.0,,1261.0,
