,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:22:00,,,8.0,46.0,24.0,,59.0,18.0,0.0,34.0,16.0,15.0,,1.0,7.0,6.0,41.0,23.0,19.0,,,,8.0,78.0,,5.0,4.0,,12.0,67.0,22.0,32.0,2.0,7.0,3.0,,62.0,51.0,5.0,,8.0,1.0,22.0,29.0,3.0,15.0,12.0,6.0,12.0,,16.0,4.0,3.0,,92.0,21.0,33.0,18.0,6.0,,11.0,
2021-03-24 21:23:00,,,4.0,17.0,15.0,,51.0,28.0,0.0,19.0,32.0,1.0,,4.0,8.0,2.0,27.0,15.0,12.0,,,,3.0,64.0,,10.0,1.0,,6.0,40.0,18.0,34.0,0.0,17.0,2.0,,79.0,38.0,14.0,,8.0,15.0,33.0,6.0,0.0,10.0,6.0,0.0,5.0,,9.0,0.0,6.0,,81.0,9.0,35.0,33.0,7.0,,6.0,
2021-03-24 21:24:00,,,1.0,27.0,26.0,,56.0,15.0,7.0,27.0,58.0,10.0,,6.0,7.0,2.0,16.0,24.0,14.0,,,,38.0,46.0,,8.0,4.0,,13.0,51.0,15.0,13.0,1.0,1.0,16.0,,54.0,46.0,24.0,,5.0,11.0,12.0,13.0,6.0,4.0,14.0,3.0,9.0,,16.0,8.0,17.0,,54.0,5.0,34.0,49.0,5.0,,2.0,
2021-03-24 21:25:00,,,3.0,29.0,5.0,,50.0,33.0,4.0,20.0,42.0,8.0,,0.0,6.0,3.0,28.0,12.0,6.0,,,,5.0,31.0,,14.0,5.0,,12.0,47.0,11.0,12.0,5.0,1.0,3.0,,63.0,32.0,17.0,,13.0,9.0,34.0,7.0,3.0,2.0,10.0,3.0,7.0,,14.0,8.0,10.0,,52.0,10.0,59.0,35.0,12.0,,6.0,
2021-03-24 21:26:00,,,3.0,10.0,22.0,,51.0,33.0,5.0,25.0,25.0,6.0,,18.0,30.0,8.0,21.0,34.0,15.0,,,,13.0,42.0,,8.0,11.0,,25.0,44.0,9.0,18.0,2.0,3.0,12.0,,67.0,57.0,24.0,,9.0,17.0,35.0,23.0,6.0,5.0,4.0,6.0,9.0,,8.0,15.0,10.0,,51.0,16.0,48.0,44.0,17.0,,1.0,
2021-03-24 21:27:00,,,5.0,25.0,21.0,,52.0,18.0,8.0,18.0,28.0,10.0,,1.0,12.0,1.0,21.0,22.0,26.0,,,,1.0,48.0,,0.0,2.0,,20.0,39.0,7.0,24.0,0.0,1.0,1.0,,53.0,51.0,23.0,,5.0,8.0,21.0,19.0,2.0,5.0,7.0,11.0,6.0,,23.0,9.0,3.0,,30.0,16.0,33.0,21.0,18.0,,5.0,
2021-03-24 21:28:00,,,11.0,21.0,15.0,,45.0,27.0,0.0,27.0,20.0,8.0,,8.0,21.0,5.0,23.0,21.0,13.0,,,,8.0,75.0,,6.0,0.0,,27.0,36.0,21.0,22.0,1.0,1.0,2.0,,83.0,55.0,12.0,,10.0,5.0,43.0,25.0,6.0,4.0,15.0,8.0,5.0,,11.0,9.0,4.0,,80.0,11.0,40.0,24.0,11.0,,7.0,
2021-03-24 21:29:00,,,19.0,19.0,15.0,,40.0,29.0,0.0,20.0,52.0,10.0,,5.0,9.0,1.0,25.0,23.0,8.0,,,,27.0,40.0,,3.0,4.0,,11.0,35.0,23.0,11.0,3.0,5.0,9.0,,69.0,38.0,29.0,,2.0,14.0,34.0,29.0,4.0,6.0,25.0,2.0,5.0,,8.0,9.0,7.0,,68.0,15.0,41.0,38.0,15.0,,2.0,
2021-03-24 21:30:00,,,11.0,13.0,32.0,,54.0,53.0,2.0,30.0,67.0,24.0,,4.0,12.0,5.0,35.0,62.0,11.0,,,,10.0,51.0,,6.0,2.0,,28.0,53.0,34.0,22.0,2.0,2.0,18.0,,100.0,56.0,50.0,,22.0,32.0,56.0,15.0,1.0,4.0,8.0,11.0,5.0,,17.0,14.0,7.0,,72.0,19.0,73.0,45.0,18.0,,19.0,
2021-03-24 21:31:00,,,14.0,30.0,21.0,,51.0,54.0,6.0,41.0,53.0,24.0,,3.0,6.0,10.0,64.0,39.0,24.0,,,,7.0,58.0,,6.0,8.0,,42.0,58.0,21.0,9.0,1.0,1.0,4.0,,103.0,62.0,41.0,,15.0,23.0,47.0,9.0,3.0,10.0,8.0,9.0,2.0,,18.0,12.0,5.0,,50.0,23.0,52.0,37.0,24.0,,10.0,
