"DateTime","windcode","open","high","low","close","volume","amount","change","pctchange","begintime","endtime"
2019-05-22 10:50:00,000048.SZ,19.09,19.09,19.09,19.09,200,3818,-0.01,-0.000524,201905221050.951996,201905221050.951996
2019-05-22 10:51:00,000048.SZ,19.09,19.09,19.09,19.09,900,17181,0,0,201905221051.951996,201905221051.951996
2019-05-22 10:52:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:53:00,000048.SZ,19.09,19.09,19.09,19.09,200,3818,0,0,201905221053.951996,201905221053.951996
2019-05-22 10:54:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:55:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:56:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:57:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:58:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 10:59:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:00:00,000048.SZ,19.1,19.1,19.1,19.1,200,3820,0.01,0.000524,201905221100.951996,201905221100.951996
2019-05-22 11:01:00,000048.SZ,19.1,19.1,19,19,11700,222562,-0.1,-0.005236,201905221101.951996,201905221101.951996
2019-05-22 11:02:00,000048.SZ,19.1,19.1,19.1,19.1,2000,38200,0.1,0.005263,201905221102.951996,201905221102.951996
2019-05-22 11:03:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:04:00,000048.SZ,19.01,19.01,19.01,19.01,700,13307,-0.09,-0.004712,201905221104.951996,201905221104.951996
2019-05-22 11:05:00,000048.SZ,19.1,19.1,19.01,19.01,1300,24803,0,0,201905221105.951996,201905221105.951996
2019-05-22 11:06:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:07:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 11:08:00,000048.SZ,19.01,19.01,19.01,19.01,6100,116061,0,0,201905221108.951996,201905221108.951996
2019-05-22 11:09:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
